"m1","m2","m3","x1","x2","x3","y1","y2","y3","tEnd","x1[tEnd]","x2[tEnd]","x3[tEnd]","y1[tEnd]","y2[tEnd]","y3[tEnd]"
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,0.01,-1.4893856042886204,1.1931205251206756,3.5428646545063622,1.1331338054704165,-1.5682063224523464,3.9938152052180964
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,1,-1.604892284487152,1.1447799085092343,3.4100626877562963,1.5189907304809653,-1.2785152058529317,3.8018179787599915
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,5,-1.1973147988502546,-0.27646596274127194,0.18491279550885886,7.248297599217705,-0.6387275774023148,5.498057130267234
5,12,13,-1.4893732752660425,1.1330947724188172,1.1931257508942354,-1.5682350374882814,3.5428775685334317,3.9938340865527304,7.5,-2.5525448147435053,-2.7927676304554288,-0.5476408769495039,10.278705435056228,-0.25665522652099526,8.375387036906174
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,0.001,-2.050472466830569,1.1340261319054765,3.9790877968687433,1.1812290271390373,-1.8636025814460795,3.053592081414304
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,0.003,-2.0504730082019336,1.1340261941614014,3.9790865728441567,1.1812311228337466,-1.8636004748034771,3.0535906452658046
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,0.005,-2.0504740909390646,1.1340263186801567,3.9790841247872084,1.181235314218238,-1.863596261510165,3.0535877729611416
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,0.01,-2.050479166268015,1.134026902363489,3.9790726495183875,1.1812549613318517,-1.8635765116958083,3.053574309031186
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,1,-2.115441170269759,1.145366584826197,3.8220963415381055,1.4407378143877232,-1.5960450288792085,2.8701163639645237
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,5,-2.0928453120753687,-0.3605791332099758,1.4437031003243892,5.773331351622344,-1.1064309229513478,4.1196522953907095
5,12,13,-2.0504723817050383,1.1812286976122612,1.1340261221169574,-1.863602912693199,3.979087989333318,3.053592307233184,7.5,0.2732691240113315,-2.4165240949464346,-0.797040061474217,5.090502009402594,0.42558440181611223,6.639211992789167
5,12,13,-1.090663943682387,1.994649633735613,1.0493663413735694,-1.6683251569306021,3.7803402668886004,3.2045709775541904,0.001,-1.0906638461949583,1.0493663790296188,3.7803400412933637,1.9946500486704446,-1.66832479936846,3.204570750371453
5,12,13,-1.090663943682387,1.994649633735613,1.0493663413735694,-1.6683251569306021,3.7803402668886004,3.2045709775541904,0.003,-1.0906631882187192,1.0493666331838947,3.7803385186863747,1.9946528491718118,-1.668322386082813,3.2045692170516737
5,12,13,-1.090663943682387,1.994649633735613,1.0493663413735694,-1.6683251569306021,3.7803402668886004,3.2045709775541904,0.005,-1.0906618722553882,1.0493671414974772,3.7803354734645453,1.99465845017185,-1.6683175595042041,3.2045661504064795
5,12,13,-1.090663943682387,1.994649633735613,1.0493663413735694,-1.6683251569306021,3.7803402668886004,3.2045709775541904,0.01,-1.0906557036705349,1.0493695242205183,3.780321198982345,1.9946847048578544,-1.6682949349124334,3.20455177550363
5,12,13,-1.090663943682387,1.994649633735613,1.0493663413735694,-1.6683251569306021,3.7803402668886004,3.2045709775541904,1,-0.9996710113261364,1.0853249362205613,3.583503225108825,2.3423382477581804,-1.360478525611224,3.0082290933842386
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,0.001,-2.411904484364912,0.4083929298247695,4.087951978961527,1.0373380106577945,-0.09904188635938468,3.2156585011714633
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,0.003,-2.4119082506987666,0.4083924986076422,4.087950121348454,1.0373403025868646,-0.09903965884590171,3.215657056041078
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,0.005,-2.4119157833582214,0.40839163617929847,4.087946406120009,1.0373448864390835,-0.09903520381982903,3.2156541657793407
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,0.01,-2.4119510925511554,0.40838759365261146,4.0879289909454135,1.0373663731399934,-0.09901432090115754,3.2156406176600667
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,1,-2.860631702606004,0.3713358177570763,3.848660701311251,1.3081156152704454,0.17759945258904214,3.031997128355074
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,5,-8.374476153656772,-1.8154703257916138,1.3782269976107404,4.667875038201372,0.4382706551365227,3.728661936513249
5,12,13,-2.411903956066074,1.0373376891716026,0.40839299031231224,-0.09904219880883725,4.087952239524916,3.2156587038770015,7.5,-12.205368943673824,-2.249937669567618,-2.230645009437321,7.482105627480461,1.9155423448945248,3.29052707732467
5,12,13,-1.9802112757379993,1.9732723239098957,1.7337635623990595,-1.9020940650801856,3.5656659109451807,4.675672576897515,0.001,-1.9802112627691455,1.733763531302206,3.5656657823750577,1.9732726332737283,-1.9020937944753364,4.675672367026884
5,12,13,-1.9802112757379993,1.9732723239098957,1.7337635623990595,-1.9020940650801856,3.5656659109451807,4.675672576897515,0.003,-1.9802111872539572,1.733763350240478,3.565665033768184,1.973274434557325,-1.9020922188646607,4.675671145044076
5,12,13,-1.9802112757379993,1.9732723239098957,1.7337635623990595,-1.9020940650801856,3.5656659109451807,4.675672576897515,0.005,-1.9802110362144163,1.7337629881195629,3.5656635365490077,1.9732780371246113,-1.9020890676357864,4.675668701071981
5,12,13,-1.9802112757379993,1.9732723239098957,1.7337635623990595,-1.9020940650801856,3.5656659109451807,4.675672576897515,0.01,-1.9802103282026489,1.733761290681634,3.565656518325873,1.9732949241589057,-1.9020742962390105,4.675657244942946
5,12,13,-1.9802112757379993,1.9732723239098957,1.7337635623990595,-1.9020940650801856,3.5656659109451807,4.675672576897515,1,-1.9677969961789246,1.7119647092985213,3.4703084684445162,2.1984269784206103,-1.702652417860823,4.520796657454453
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,0.001,-1.9982924543193612,1.743356781747263,4.931756509401094,1.5783089431635788,-1.3971895248733541,4.657476662912968
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,0.003,-1.9982932718704325,1.7433566142339414,4.931755713936856,1.5783106176105424,-1.3971879975645114,4.6574756146758745
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,0.005,-1.9982949069662006,1.7433562792130208,4.931754123003013,1.5783139664989825,-1.397184942942108,4.657473518196406
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,0.01,-1.9983025714649925,1.743354708813786,4.931746665489999,1.5783296644026843,-1.3971706243902526,4.6574636909384495
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,1,-2.0987068149448547,1.724071185665403,4.830765348248724,1.7860633587310193,-1.2048802923419981,4.524909310877847
5,12,13,-1.9982923129856922,1.5783086536950022,1.7433568107063087,-1.3971897889049454,4.9317566469157885,4.657476844125506,5,-3.6309401787217497,1.5204598961349243,2.1311831167466724,5.68650468440764,-0.018773052779249285,4.476907234038819
